Ravenclaw,Slytherin,Gryffindor,Hufflepuff
-0.7310416409701493,0.2993981486367242,0.032569674172741245,-0.2994001890286673
-0.0016997770073150977,-0.011249644026552904,0.004738636182164013,0.010872360648082434
0.12181004867103189,0.09236063460763735,0.022089339216687105,0.2741867172181462
-0.11497124245143475,-0.2014713020605862,0.14935108769129493,0.5886763616114561
0.049216802042109944,-0.2572394602797702,-0.6088163670945758,0.6699380542092105
0.2587262557177117,0.5730062831623474,0.18993692834257597,-0.4163384143844516
-0.004169848048051704,-0.4803827732322902,0.38099633310177744,0.22235724487158817
0.5297525778702017,-0.012727083302975244,0.034902358753317965,-0.3464485062571298
0.3987718387394406,-0.37982364484512654,0.20739803414122537,-0.6326221308812906
0.009174451151785307,0.16401218549882376,-0.04043043094358072,0.3233078363094597
-0.01899099853655519,0.27962946083476914,-0.20918177475438518,0.24621983416550614
-0.03382387903645898,0.31479956150395094,-0.14878760641527702,0.007524980149377359
0.014206002505167388,0.01989545614185252,-0.012342624029123492,0.01994137368864784
0.8533707671485877,-0.6414896983386555,-0.3041465536576875,0.0207569917504498
0.1109059096062958,0.2938208668416833,0.8087537675023255,-0.12295896897035714
